title,url
Googleドキュメントでブログが作り放題になるWebサービス「Nocode」を使ってみた！ - paiza開発日誌 (78 ブックマーク),/entry/s/paiza.hatenablog.com/entry/2020/07/15/Google%E3%83%89%E3%82%AD%E3%83%A5%E3%83%A1%E3%83%B3%E3%83%88%E3%81%A7%E3%83%96%E3%83%AD%E3%82%B0%E3%81%8C%E4%BD%9C%E3%82%8A%E6%94%BE%E9%A1%8C%E3%81%AB%E3%81%AA%E3%82%8BWeb%E3%82%B5%E3%83%BC%E3%83%93
どのプログラミング言語が使われているのか、JetBrainsが調査レポートを発表：移行先はGo、Kotlin、Python - ＠IT (51 ブックマーク),/entry/s/www.atmarkit.co.jp/ait/articles/2007/14/news138.html
データサイエンティストが副業で成果を出すためのチェックリスト | Offers Magazine (54 ブックマーク),/entry/s/offers.jp/media/sidejob/workstyle/a_1770
"TCPが遅すぎる？QUICを使おう！. 「それ、QUIC使えないの？」 | by FUJITA Tomonori | nttlabs | Jul, 2020 | Medium (310 ブックマーク)",/entry/s/medium.com/nttlabs/quic-with-rust-9cf9b44596ad
探しものがはかどる検索エンジンDuckDuckGo、NDC順Bangリスト 読書猿Classic: between / beyond readers (942 ブックマーク),/entry/s/readingmonkey.blog.fc2.com/blog-entry-799.html
これから推薦システムを作る方向けの推薦システム入門｜masa_kazama｜note (820 ブックマーク),/entry/s/note.com/masa_kazama/n/n586d0e2d49d2
Google の中途採用を受けてオファーをもらった話 • takecian (581 ブックマーク),/entry/s/takecian.github.io/posts/2019-12-17_diary/
AWSのスペシャリストが勧める　Lambdaではじめるサーバーレス環境 - ログミーTech (91 ブックマーク),/entry/s/logmi.jp/tech/articles/323080
IT用語も「奴隷」廃止の動き　「slave」は「フォロワー」や「レプリカ」に - ITmedia NEWS (282 ブックマーク),/entry/s/www.itmedia.co.jp/news/articles/2007/13/news057.html
「未経験文系から3ヶ月でデータサイエンティストになって一発逆転」はここで終わり - todo-mentor’s diary (1274 ブックマーク),/entry/s/todes-mentor.hatenablog.com/entry/help_todesko
ノーコードでWebサイト・アプリ構築！手軽に使える無料サービスまとめ - paiza開発日誌 (57 ブックマーク),/entry/s/paiza.hatenablog.com/entry/2020/07/12/%E3%83%8E%E3%83%BC%E3%82%B3%E3%83%BC%E3%83%89%E3%81%A7Web%E3%82%B5%E3%82%A4%E3%83%88%E3%83%BB%E3%82%A2%E3%83%97%E3%83%AA%E6%A7%8B%E7%AF%89%EF%BC%81%E6%89%8B%E8%BB%BD%E3%81%AB%E4%BD%BF%E3%81%88%E3%82%8B
【学びたい技術分野別に50冊】高額な技術書がKindleで50%以上セール開催中でお買い得 - 仮想サーファーの日常 (93 ブックマーク),/entry/s/www.virtual-surfer.com/entry/2020-expensive-kindle-sale
GitHub - adobe/frontend-regression-validator: Visual regression tool used to compare baseline and updated instances of a website in a deployment pipeline. (60 ブックマーク),/entry/s/github.com/adobe/frontend-regression-validator
Homebrew から Python が消えた・・・ - Qiita (87 ブックマーク),/entry/s/qiita.com/shotakaha/items/61cb226959917640e7c0
DeNAのサーバーサイドエンジニアが教える　構成管理ツール「Ansible」実践ガイド - ログミーTech (97 ブックマーク),/entry/s/logmi.jp/tech/articles/323068
GoでWebアプリ開発時にあるあるだったレビューコメント | フューチャー技術ブログ (428 ブックマーク),/entry/s/future-architect.github.io/articles/20200709/
